# Moller et al. 2022 
# SNe Ia selected with SuperNNova using host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology 
# No HQ nor JLA cuts 
# Columns are: SNID=id zHD=redshift IAUC=naming SuperNNova probabilities= all_class0_S_0, average_probability_set_0 
#              SALT2 fit= c,x1,zHDERR,cERR,x1ERR 
SNID,IAUC,SNTYPE,zHD,c,x1,zHDERR,cERR,x1ERR,HOSTGAL_MAG_r,all_class0_S_0,average_probability_set_0
1430116,DES16C3bnh      ,0,1.0214,-0.184804,-1.96596,0.001,0.0746947999999999,0.24991,23.16,0.9986292,0.9944251
1430136,DES16S1bnn      ,0,0.4125,0.0105436,1.0713,0.001,0.0366092,0.48481,21.39,0.99999976,0.9999995
1430255,DES16X2bkd      ,0,0.6581,0.0499957,-0.8225979999999999,0.001,0.00903317,0.6661,23.25,0.9999937,0.99999744
1431064,DES16E2bkb      ,0,0.3949,-0.0684045,-1.01294,0.001,0.0309733,0.29659,22.29,1.0,0.9999999
1431096,DES16E2bkg      ,1,0.4768,-0.00360865,-0.526995,0.001,0.0322212,0.39411,23.27,0.9999988,0.99999934
1431108,DES16C3ben      ,0,0.6105,0.000714965,0.67812,0.001,0.0343856,0.3902199999999999,22.72,1.0,1.0
1431163,DES16S2bnq      ,0,0.3671,0.00235995,-0.0417899,0.001,0.0297091999999999,0.3133,20.94,1.0,0.9999999
1432017,DES16C1bns      ,0,0.3458,0.25356,-1.6807599999999998,0.001,0.0455395,0.47541,21.06,0.8520588,0.6952849
1432026,DES16C2bfb      ,0,0.1499,0.15646,-2.50336,0.001,0.0311952,0.1877599999999999,19.53,0.08946388,0.78704756
1432027,DES16C1bnt      ,1,0.3504,0.13898,-0.406414,0.001,0.0290037,0.22364,21.15,1.0,0.9999999
1432078,DES16E1bkn      ,0,0.5447,0.0451996999999999,2.34076,0.001,0.0474592,0.81797,21.6,0.99996555,0.9989727
1432102,DES16E2bfk      ,0,0.718,-0.0966544,1.64831,0.001,0.0398845,0.54798,22.52,0.99993443,0.99998343
1432137,DES16E2bkj      ,0,0.6346,0.34536,-0.476356,0.001,0.0827758,0.8093100000000001,23.13,0.9153691,0.8875228
1432141,DES16E2bko      ,0,0.5649,0.0753369,1.83596,0.001,0.0420995,0.6812699999999999,22.27,0.9999968,0.9999975
1433036,DES16C2bgk      ,0,0.584,0.21176,-2.86685,0.001,0.0970736,0.81728,21.8,0.9884211,0.88855636
1433040,DES16C2boe      ,0,0.7195,-0.0367865999999999,0.33974,0.001,0.0534341,0.8486600000000001,22.18,0.9912457,0.98238516
1433108,DES16E2bik      ,0,0.6828,0.0521766999999999,0.32713,0.001,0.063809,0.7619,21.98,0.9996557,0.9981391
1433226,DES16X1bkm      ,0,0.5839,-0.216611,-1.80032,0.001,0.0484327,0.55072,21.68,0.999997,0.9999973
1434203,DES16X1bkt      ,0,0.3757,0.0104934,0.7038300000000001,0.001,0.0276659,0.23065,22.9,1.0,0.9999994
1434221,DES16X1bla      ,0,0.7837,0.065082,0.70291,0.001,0.0989108,1.19355,23.82,0.999694,0.9995078
1434248,DES16X3biz      ,1,0.2373,0.0387163,-0.8969469999999999,0.001,0.0255601,0.094878,19.43,1.0,0.9999995
1434258,DES16C3byk      ,0,0.662,0.0580043,0.72353,0.001,0.0443944,0.45022,23.65,0.99999905,0.99999744
1434262,DES16X3bja      ,0,0.7896,-0.0902828,0.90284,0.001,0.0510737,0.44995,23.03,0.9999987,0.99999964
1435033,DES16C2bhp      ,0,0.5804,-0.0179433,-0.6236619999999999,0.001,0.0548645999999999,0.55295,22.78,0.97779113,0.85846776
1435067,DES16E2bht      ,1,0.3914,-0.0252527,-1.24085,0.001,0.0313308,0.36053,21.27,0.9998925,0.99941003
1435094,DES16C3bid      ,0,1.0163,-0.121715,-0.549457,0.001,0.0549827,0.5159600000000001,23.85,0.99999213,0.99998534
1439028,DES16X3bkz      ,0,0.5542,0.11499,-1.31187,0.001,0.0400516,0.43613,22.55,0.9999994,0.9999956
1440057,DES16X1buy      ,1,0.5123,-0.103295,-0.884135,0.001,0.0339191,0.29309,22.38,0.9999999,0.9999998
1442035,DES16E2blm      ,0,0.858,-0.0846828999999999,0.19991,0.001,0.082846,0.94131,23.57,0.9999902,0.99998695
1442085,DES16S2buz      ,0,0.6336,-0.0986905,-0.954124,0.001,0.0632298999999999,0.82899,22.64,0.99999905,0.99999505
1443078,DES16S2bpf      ,0,0.611,0.0612161999999999,-0.177678,0.001,0.0663715,0.76363,22.2,0.99982375,0.99992305
1444028,DES16E2blz      ,0,0.5536,-0.0480839999999999,-0.233665,0.001,0.0367872,0.4289699999999999,24.08,0.9999999,0.9999999
1444039,DES16E2bme      ,0,0.8681,-0.1968619999999999,1.53438,0.001,0.0768011,1.20045,23.72,0.99452764,0.94506854
1446080,DES16C3bpn      ,0,1.1306,-0.0562658,0.19349,0.001,0.0860955,1.05943,24.38,0.99934727,0.99916303
1447133,DES16C3cid      ,0,0.3654,0.12913,-2.9851,0.001,0.0593172,0.45069,21.85,0.9946122,0.6107819
1447146,DES16C3bqi      ,0,1.0001,0.13136,-1.50451,0.001,0.11175,0.85326,23.91,0.9994024,0.99942225
1448120,DES16C3byr      ,0,0.9253,0.0770125,-0.374106,0.001,0.1059599999999999,0.8981,24.16,0.9976534,0.9983818
1448122,DES16C3bza      ,0,0.5769,0.0197851,0.10384,0.001,0.0393682,0.32404,23.06,0.99999976,0.9999973
1449074,DES16C1cbq      ,0,0.3319,-0.0737353999999999,-0.614848,0.001,0.0355426999999999,0.289,20.4,0.9999999,0.9999997
1449102,DES16C3brm      ,0,0.6983,0.21185,-0.7056060000000001,0.001,0.0815513,0.6937399999999999,23.75,0.99960464,0.99989635
1449115,DES16C3bzc      ,0,0.8667,-0.0403455,1.84434,0.001,0.0640894,0.58557,23.74,0.98508966,0.9599169
1450026,DES16S1byw      ,0,0.3583,-0.0414178,-0.4116829999999999,0.001,0.0347024,0.33459,21.02,1.0,0.9999999
1450148,DES16E1byy      ,0,0.4474,-0.0162438,-0.302167,0.001,0.035522,0.3150199999999999,23.26,1.0,1.0
1452059,DES16X1bvu      ,0,0.5642,0.1545099999999999,-2.4751,0.001,0.0687015,0.58372,22.93,0.99974304,0.99935484
1452065,DES16X1cdr      ,1,0.6451,-0.0479259999999999,1.5752,0.001,0.0519326,1.0455,24.18,0.6971179,0.67484736
1461023,DES16X3cdv      ,0,0.8225,0.0127736,0.76383,0.001,0.0768096,0.6622899999999999,24.06,0.99999726,0.9999944
1466032,DES16E2bzm      ,0,0.5761,-0.0516569,-0.0486273,0.001,0.0424399,0.41803,21.91,0.9999989,0.9999983
1467057,DES16C3bzu      ,0,0.7039,-0.0316322,1.47661,0.001,0.0306888,0.25386,23.6,0.99999964,0.99999917
1469040,DES16S1caq      ,0,0.3267,0.0188079,-0.550054,0.0,0.0353611,0.35774,20.02,1.0,0.99999964
1470039,DES16S1cae      ,0,0.7636,0.00197815,0.43711,0.001,0.0978401,0.94307,23.37,0.9951126,0.8683025
1470063,DES16C1cii      ,0,0.5355,0.0139105999999999,-0.262867,0.001,0.0509426,0.63232,22.18,0.9999989,0.99994576
1472020,DES16C1ccv      ,0,0.5311,-0.0534485,0.30506,0.001,0.0399345,0.42153,22.9,0.9999999,0.9999998
1473025,DES16C2coa      ,0,0.6465,0.0820603999999999,0.18896,0.001,0.0665978,0.74724,23.35,0.999969,0.9999713
1473027,DES16C2cld      ,0,0.5057,-0.0385965,-0.471401,0.001,0.0455658,0.4638199999999999,21.27,1.0,1.0
1474020,DES16C3cdi      ,0,0.5415,0.27095,-0.0596803,0.001,0.049193,0.38393,22.98,0.99999905,0.9999982
1479069,DES16E1ciy      ,1,0.1727,-0.0331895999999999,1.00049,0.001,0.0239707,0.0588408,21.69,1.0,0.9999999
1479098,DES16S1cgq      ,0,0.5038,0.30495,1.5361,0.0001,0.0752997,0.90842,21.15,0.97796226,0.7403719
1480038,DES16X2ceg      ,1,0.3342,0.0393475999999999,1.06998,0.001,0.0319156,0.28928,20.98,1.0,1.0
1484053,DES16E2ciz      ,0,0.4632,0.0166834,0.7371,0.001,0.0310837999999999,0.33683,21.19,1.0,0.9999999
1484100,DES16S1cle      ,0,0.8335,0.1656,0.5794199999999999,0.001,0.13893,1.25053,23.59,0.9994529,0.99912184
1487043,DES16X3cht      ,0,0.6923,0.10302,0.86892,0.001,0.0487081,0.46336,21.65,0.9999989,0.9999987
1487055,DES16S1cgx      ,0,0.582,0.19566,-1.79683,0.001,0.0940959,0.81909,21.88,0.9908915,0.99278057
1488029,DES16E2cjg      ,1,0.4783,-0.0537731,0.38678,0.001,0.0288327,0.27471,20.79,1.0,1.0
1488098,DES16X3clh      ,0,0.7508,-0.0254862,-0.4238409999999999,0.001,0.0754057,0.57816,22.94,0.99999225,0.9999924
1490034,DES16C1cim      ,0,0.53,-0.0861173,0.41661,0.001,0.0394261999999999,0.4321899999999999,23.18,0.9999964,0.9999787
1495047,DES16C3cja      ,0,0.411,-0.0912982,-0.46858,0.001,0.028582,0.27845,21.86,1.0,0.9997675
1500031,DES16E2clk      ,1,0.3661,-0.0160474,0.0788881,0.001,0.0273384,0.2008599999999999,22.86,1.0,1.0
1500076,DES16X1crp      ,0,0.5989,-0.215906,0.98177,0.001,0.0402151,0.54951,21.89,0.9999999,0.9999998
1500086,DES16X1cpi      ,0,0.6414,-0.0644455,-0.882366,0.0002,0.0563563999999999,0.568,21.8,0.999997,0.9999949
1501075,DES16S2cpe      ,0,0.3837,-0.0245459,0.83805,0.001,0.0302262,0.38482,21.08,0.9999999,0.9999956
1501097,DES16X1cpf      ,0,0.4359,-0.0338191,2.11952,0.001,0.0296504,0.35745,21.97,1.0,1.0
1502029,DES16X2cpp      ,0,0.518,-0.160985,0.4157899999999999,0.001,0.0359213,0.5102899999999999,21.84,0.99999976,0.9999999
1502065,DES16S1cps      ,1,0.2732,-0.0232292,0.9904,0.001,0.0278229,0.17957,22.54,1.0,1.0
1502132,DES16X3cpm      ,0,0.8018,0.0990801,-0.104041,0.001,0.0777756999999999,0.57928,23.35,0.99998343,0.9999793
1503024,DES16X2cpn      ,1,0.2769,-0.0807891,-2.14415,0.001,0.0365498,0.29466,19.72,1.0,0.99999964
1504096,DES16X1cuz      ,0,0.5058,0.13906,-1.43402,0.001,0.0674032,0.7452,21.64,0.9998864,0.9997514
1504139,DES16C3cmy      ,0,0.5564,-0.0938238999999999,0.74065,0.001,0.0249431,0.18172,22.13,1.0,1.0
1508029,DES16C3coj      ,0,0.8528,0.0658336,-0.606031,0.001,0.0920566,0.72183,22.82,0.99986243,0.99873936
1509040,DES16S2ctr      ,0,0.6851,-0.0316527,0.14046,0.001,0.0652767,0.7854800000000001,22.56,0.99999666,0.9999962
1510035,DES16S2cog      ,0,0.1628,0.1554299999999999,-1.86163,0.0,0.0555014999999999,0.57334,18.93,0.9997172,0.9365654
1512101,DES16X2crt      ,101,0.5687,-0.121505,0.0256887,0.005,0.0358411,0.47297,23.38,0.99999964,0.9999998
1512114,DES16X2crr      ,1,0.3108,0.31,-0.236292,0.001,0.00585759,0.41718,21.6,0.99999785,0.99998015
1513071,DES16C2cva      ,0,0.4029,-0.0123953999999999,-0.699321,0.001,0.0297291,0.26408,22.79,1.0,1.0
1516017,DES16E2crb      ,1,0.228,0.32523,-0.469797,0.001,0.036849,0.26526,22.16,0.99999976,0.99994326
1516019,DES16E2cqq      ,1,0.4244,0.0113864,-1.06921,0.001,0.0332653,0.28813,22.94,1.0,0.9999999
1520020,DES16X2csj      ,0,0.3542,0.21319,-1.56364,0.001,0.0570743,0.5692,22.39,0.940002,0.8360996
1528024,DES16S1cxj      ,0,0.7463,-0.2706699999999999,1.16518,0.001,0.0961899,1.05522,22.31,0.99999225,0.99957037
