# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,all_class0_S_0,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB
1367551,DES16X1gp       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.15,99.0,0.26059175,0.97741,0.0075,0.37653,0.57151,-0.136098,0.0295993,0.0287166
1367556,DES16X1hu       ,1,0.4511,0.001,0.4523,0.001,9.21,0.04,23.61,99.0,0.99999976,0.44842,0.00454,-0.0302458,0.23816,-0.104819,0.0181609,0.3954
1367598,DES16X1xe       ,0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,99.0,99.0,0.9958177,0.76754,0.00994,-0.163392,0.67974,-0.0926863,0.0382169,0.38116
1368111,DES16E2bp       ,0,0.551,0.001,0.552,0.001,10.74,0.07,22.28,99.0,0.99877006,0.46998,0.00578,2.01504,0.43901,0.151,0.0297107,0.92991
1368133,DES16X3hy       ,0,0.2762,0.001,0.2772,0.001,9.42,0.01,22.2,99.0,1.0,0.29608,0.00457,-0.386848,0.15245,0.12534,0.0184194,0.47983
1368143,DES16X3hi       ,0,0.4235,0.001,0.4246,0.001,10.14,0.04,21.78,99.0,0.99995744,0.43693,0.00792,0.68642,0.29089,0.0414921,0.0248714,0.34424
1368188,DES16C3bq       ,1,0.2366,0.001,0.2371,0.001,10.76,0.01,19.72,99.0,0.99945015,0.23972,0.00167,-0.661689,0.10179,-0.00663524,0.0105751,0.92889
1368270,DES16S2hv       ,0,0.266,0.0,0.2669,0.0,10.1,0.02,20.94,99.0,0.9999939,0.41692,0.00506,1.94502,0.40745,0.10149,0.0278132,0.0528219
1368294,DES16C3bs       ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.35,99.0,0.73112744,0.63958,0.01012,-1.3661,0.5582,0.20152,0.0393409,0.81472
1368311,DES16E2bt       ,0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,99.0,99.0,0.985628,0.60304,0.00751,0.66139,0.48342,0.0450036,0.0316886,0.25216
1368482,DES16X2uf       ,0,0.5085,0.001,0.5097,0.001,10.82,0.04,21.59,99.0,0.9962184,0.44749,0.01024,-0.825549,0.56142,0.0662991,0.0364958,0.9053
1368527,DES16X1pd       ,0,0.8218,0.001,0.8233,0.001,9.07,0.07,24.49,99.0,0.9935195,0.81592,0.06111,0.0561874,0.93977,-0.0465212,0.0662204,0.87791
1368530,DES16X1pa       ,0,0.3422,0.001,0.3434,0.001,9.89,0.01,21.97,99.0,0.99999976,0.34521,0.00485,-0.508349,0.2879,0.0789177,0.0219009,0.76378
1370113,DES16E1cd       ,0,0.6555,0.001,0.6567,0.001,10.82,0.02,22.08,99.0,0.99474394,0.65769,0.01481,-0.454667,0.53469,-0.11804,0.0330793,0.48567
1370133,DES16E1cl       ,0,0.6576,0.001,0.6588,0.001,10.43,0.02,22.54,99.0,0.9236273,0.86251,0.00668,0.76703,0.64016,-0.145346,0.0340567,0.98411
1370135,DES16E2ci       ,0,0.5162,0.001,0.5172,0.001,9.52,0.04,23.98,99.0,0.9999968,0.69077,0.01036,1.6637,0.69742,-0.110346,0.0345174,0.38735
1370181,DES16X3it       ,0,0.6931,0.001,0.6945,0.001,9.89,0.02,23.89,99.0,0.99163365,1.11246,0.02453,-0.169699,0.44338,-0.237058,0.027181,0.93521
1370247,DES16X1jw       ,0,0.6688,0.001,0.6702,0.001,10.64,0.02,22.71,99.0,0.99990404,0.62348,0.01227,0.5149,0.4607,-0.0358739,0.0320017,0.7742
1370253,DES16X1iz       ,0,0.1776,0.001,0.1785,0.001,9.75,0.01,20.61,99.0,0.999928,0.48241,0.00437,1.63602,0.58298,0.0693007,0.0338455,0.0452677
1370290,DES16C3cp       ,0,0.899,0.001,0.8998,0.001,11.1,0.05,23.65,99.0,0.9757295,0.90591,0.01403,1.09716,0.68,-0.0404192,0.0375738,0.86648
1370297,DES16C3cq       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,27.25,99.0,0.9624641,0.73372,0.00697,-0.0195791,0.56221,-0.0266586,0.0314175,0.43168
1370308,DES16C3cw       ,0,0.6286,0.001,0.6293,0.001,9.67,0.01,22.51,99.0,0.9999672,0.72344,0.02339,0.52171,0.58904,0.0416781,0.040492,0.99998
1370320,DES16E2nb       ,1,0.3307,0.001,0.3316,0.001,10.42,0.02,19.66,99.0,0.99999726,0.32357,0.00406,0.29289,0.24067,0.0207855,0.0193858,0.0141659
1370330,DES16E2ph       ,0,0.5295,0.001,0.5306,0.001,10.37,0.02,21.16,99.0,0.999803,0.54243,0.05,-1.34467,0.60169,-0.00934389,0.035652,0.89672
1370391,DES16C2na       ,0,0.6569,0.001,0.6575,0.001,9.29,0.03,23.47,99.0,0.9984309,0.66532,0.04017,0.60525,0.14537,-0.115869,0.00947328,0.84059
1370393,DES16C2mx       ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.19,99.0,0.9999968,0.45165,0.00383,-0.490285,0.43513,-0.00718287,0.0263254,0.59806
1370402,DES16C3nd       ,1,0.6477,0.001,0.6483,0.001,9.96,0.04,23.68,99.0,0.9999374,0.65051,0.01772,-0.481123,0.35183,-0.0471005,0.0329247,0.52375
1370403,DES16C3cz       ,0,0.9797,0.001,0.9804,0.001,10.75,0.09,23.62,99.0,0.95564777,0.96092,0.01373,1.27855,0.88484,0.13233,0.0519437,0.77557
1370806,DES16C2nl       ,0,0.5889,0.001,0.5895,0.001,10.47,0.01,22.25,99.0,0.99906665,0.61559,0.00995,-1.17161,0.49604,-0.0835258,0.0322215,0.70132
1370898,DES16E1xj       ,0,0.6507,0.001,0.6519,0.001,9.8,0.06,23.77,99.0,0.9991794,0.6204,0.02616,0.44214,0.52625,0.0762532,0.049997,0.94632
1370906,DES16E1xm       ,0,0.6184,0.001,0.6196,0.001,10.74,0.02,22.34,99.0,0.9899066,0.61314,0.01234,-1.19414,0.67853,0.0774566,0.0454019,0.43967
1370923,DES16E2qb       ,0,0.6639,0.001,0.6651,0.001,9.48,0.06,24.19,99.0,0.83920944,0.63316,0.01798,-0.224522,0.7426,0.17169,0.0484852,0.65346
1370944,DES16E2xk       ,1,0.5095,0.001,0.5106,0.001,10.92,0.03,21.51,99.0,0.9999975,0.49176,0.00653,-0.0373233,0.36639,-0.00220481,0.0260046,0.94094
1371022,DES16E1de       ,101,0.2908,0.001,0.2918,0.001,8.45,0.02,23.09,99.0,1.0,0.27428,0.00158,0.83695,0.13745,0.0412717,0.0120348,0.31732
1371040,DES16E1dg       ,0,0.8003,0.001,0.8016,0.001,10.11,0.06,23.69,99.0,0.9578663,0.62611,0.0093,0.94396,0.77847,0.0749019,0.0450519,0.24437
1371048,DES16E2di       ,0,0.3439,0.001,0.3449,0.001,10.7,0.03,20.45,99.0,0.9993142,0.33904,0.00343,-1.27242,0.3728,0.0313575,0.0255737,0.99007
1371049,DES16E2dp       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,21.46,99.0,0.9998387,0.65264,0.00095,1.2112,0.0660739,-0.179022,0.0088321,0.0322253
1371111,DES16X3kq       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,23.38,99.0,0.99994755,0.88126,0.01633,0.24309,0.73464,-0.0749903,0.0395004,0.99991
1371124,DES16C3dx       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,23.3,99.0,0.9999981,0.51725,0.05,0.87193,0.10788,-0.156364,0.00980697,0.27499
1371126,DES16C3ea       ,1,0.216,0.001,0.2165,0.001,10.02,0.01,20.79,99.0,0.9999995,0.27526,0.00304,-1.44358,0.19109,-0.200201,0.0170123,0.55943
1371206,DES16C3ds       ,0,0.5278,0.001,0.5284,0.001,10.26,0.02,22.76,99.0,0.91801,0.52154,0.00269,-2.96785,0.38595,0.00398519,0.0281901,0.0549655
1372045,DES16E1qo       ,0,0.3769,0.001,0.378,0.001,10.09,0.02,21.87,99.0,0.9755646,0.58031,0.00439,-0.363398,0.2671,-0.220895,0.0183501,0.26237
1372169,DES16C3qr       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,24.38,99.0,0.9997317,0.87403,0.00053,-1.57611,0.68047,-0.016911,0.0382373,0.78339
1372182,DES16E1qu       ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.69,99.0,0.99999857,0.56714,0.00575,0.75008,0.42499,0.07886,0.0295234,0.42424
1373028,DES16X2up       ,0,0.2552,0.001,0.2562,0.001,11.08,0.03,19.74,99.0,0.99999964,0.23365,0.00385,-1.33297,0.30365,-0.0731034,0.0216487,0.96528
1373040,DES16X3ko       ,0,0.2617,0.001,0.2627,0.001,10.79,0.04,19.88,99.0,1.0,0.22278,0.04623,0.24601,0.3151,0.14966,0.16552,1.0
1373042,DES16X3kv       ,0,0.2372,0.001,0.2382,0.001,10.58,0.02,20.26,99.0,0.99999964,0.25927,0.01288,-2.26656,0.2927,-0.0565786,0.0369715,0.99212
1373053,DES16X2us       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,21.88,99.0,0.96221954,0.80656,0.00722,1.88699,0.68437,-0.0943072,0.0377453,0.17814
1375087,DES16C3qv       ,0,0.6295,0.001,0.6302,0.001,9.81,0.03,22.91,99.0,0.99999964,0.67027,0.00502,-0.547339,0.35901,-0.0763133,0.0242852,0.52741
1376138,DES16E2rl       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,23.13,99.0,0.84833884,0.58279,0.01054,-1.74592,0.79784,0.16691,0.046151,0.77691
1376168,DES16E2rd       ,1,0.4924,0.001,0.4935,0.001,11.05,0.03,20.99,99.0,0.99999964,0.47615,0.0055,-0.780281,0.37669,-0.0367687,0.026608,0.7732
1376225,DES16C3rx       ,0,0.7251,0.001,0.7258,0.001,11.09,0.04,23.06,99.0,0.8299887,0.68657,0.00621,-2.11661,0.39561,-0.13814,0.0246325,0.11574
1377118,DES16E2sw       ,0,0.8038,0.001,0.8051,0.001,11.16,0.11,23.25,99.0,0.928765,0.80414,0.01982,-0.23865,0.89418,-0.0144268,0.0518875,0.016606
1380057,DES16E1yi       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,22.29,99.0,0.9999951,0.37426,0.05856,-1.54806,0.57626,0.12574,0.11033,0.54204
1380115,DES16E2yu       ,0,0.8488,0.001,0.8501,0.001,10.28,0.05,23.35,99.0,0.99249697,0.79041,0.01501,1.81841,0.72794,0.0417843,0.0468331,0.15683
1380167,DES16C3vb       ,0,0.7533,0.001,0.754,0.001,9.73,0.02,23.38,99.0,0.9959299,0.7247,0.00534,0.12994,0.30194,-0.0833984,0.020365,0.18416
