# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology In DES+2024 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
# all_class0_s* probabilities for different models  
# ensemble=average_probability_set_0  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB,all_class0_S_0,all_class0_S_55,all_class0_S_100,all_class0_S_1000,all_class0_S_30469,average_probability_set_0
1370308,DES16C3cw       ,0,0.6286,0.001,0.6293,0.001,9.67,0.01,22.51,99.0,0.72344,0.02339,0.52171,0.58904,0.0416781,0.040492,0.99998,0.9999672,0.9998672,0.9999572,0.99992514,0.99996614,0.9999366
1370320,DES16E2nb       ,1,0.3307,0.001,0.3316,0.001,10.42,0.02,19.66,99.0,0.32357,0.00406,0.29289,0.24067,0.0207855,0.0193858,0.0141659,0.99999726,0.99998033,0.99998164,0.99999833,0.9999951,0.9999906
1370330,DES16E2ph       ,0,0.5295,0.001,0.5306,0.001,10.37,0.02,21.16,99.0,0.54243,0.05,-1.34467,0.60169,-0.00934389,0.035652,0.89672,0.999803,0.99998105,0.9999566,0.9999008,0.9999635,0.999921
1370391,DES16C2na       ,0,0.6569,0.001,0.6575,0.001,9.29,0.03,23.47,99.0,0.66532,0.04017,0.60525,0.14537,-0.115869,0.00947328,0.84059,0.9984309,0.9996995,0.99970067,0.9998091,0.99884284,0.99929655
1370393,DES16C2mx       ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.19,99.0,0.45165,0.00383,-0.490285,0.43513,-0.00718287,0.0263254,0.59806,0.9999968,0.9999957,0.99992657,0.9999857,0.9999958,0.9999801
1370402,DES16C3nd       ,1,0.6477,0.001,0.6483,0.001,9.96,0.04,23.68,99.0,0.65051,0.01772,-0.481123,0.35183,-0.0471005,0.0329247,0.52375,0.9999374,0.9999896,0.9999703,0.99998355,0.9999995,0.99997616
1370403,DES16C3cz       ,0,0.9797,0.001,0.9804,0.001,10.75,0.09,23.62,99.0,0.96092,0.01373,1.27855,0.88484,0.13233,0.0519437,0.77557,0.95564777,0.8649048,0.93086475,0.9794942,0.9920644,0.9445952
1370806,DES16C2nl       ,0,0.5889,0.001,0.5895,0.001,10.47,0.01,22.25,99.0,0.61559,0.00995,-1.17161,0.49604,-0.0835258,0.0322215,0.70132,0.99906665,0.99710387,0.99893504,0.99784863,0.98701453,0.9959938
1370898,DES16E1xj       ,0,0.6507,0.001,0.6519,0.001,9.8,0.06,23.77,99.0,0.6204,0.02616,0.44214,0.52625,0.0762532,0.049997,0.94632,0.9991794,0.99934095,0.99877995,0.99820864,0.99962866,0.99902755
1370906,DES16E1xm       ,0,0.6184,0.001,0.6196,0.001,10.74,0.02,22.34,99.0,0.61314,0.01234,-1.19414,0.67853,0.0774566,0.0454019,0.43967,0.9899066,0.9917523,0.9749791,0.98299766,0.9828619,0.9844996
1370923,DES16E2qb       ,0,0.6639,0.001,0.6651,0.001,9.48,0.06,24.19,99.0,0.63316,0.01798,-0.224522,0.7426,0.17169,0.0484852,0.65346,0.83920944,0.91088057,0.83766973,0.9549901,0.9495895,0.89846784
1370944,DES16E2xk       ,1,0.5095,0.001,0.5106,0.001,10.92,0.03,21.51,99.0,0.49176,0.00653,-0.0373233,0.36639,-0.00220481,0.0260046,0.94094,0.9999975,0.99999905,0.99999046,0.9999697,0.9999958,0.9999906
